brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Car_Age,Price_per_KM,Milage_per_Year
Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,24000.0,14,0.23941104881990305,6683.0
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,None reported,Yes,42999.0,4,5.009203168685928,1716.6
Dodge,Dakota SLT,2003,141800,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,5700.0,23,0.040197177734994816,5908.333333333333
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,13800.0,14,0.17921845170841938,5133.333333333333
Audi,A5 2.0T Premium,2018,67035,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Pink,Brown,At least 1 accident or damage reported,Yes,31500.0,8,0.46989677188376394,7448.333333333333
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,19500.0,14,0.31732599957689867,4096.666666666667
Porsche,Panamera GTS,2015,39500,Gasoline,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,52590.0,11,1.3313586997797524,3291.6666666666665
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,128900.0,6,19.527344341766398,942.8571428571429
Chevrolet,Camaro 2SS,2023,2300,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,51500.0,3,22.381573229030856,575.0
Audi,Q7 Premium Plus,2023,10601,Hybrid,3.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,Yes,61998.0,3,5.847764572722128,2650.25
Maserati,GranTurismo MC,2018,18000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,67000.0,8,3.7220154435864674,2000.0
GMC,Sierra 2500 AT4,2022,31681,Gasoline,6.6L V8 16V GDI OHV,Automatic,Cayenne Red Tintcoat,Jet Black,At least 1 accident or damage reported,Yes,67963.0,4,2.1451612903225805,6336.2
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Garnet Red Metallic,Jet Black,At least 1 accident or damage reported,Yes,49427.0,6,2.0496371552975328,3444.8571428571427
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Global Black,None reported,Yes,43389.0,4,1.962415196743555,4421.8
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,18000.0,14,0.12162079985946041,9866.666666666666
BMW,M5 Base,2018,41000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,60200.0,8,1.468256871783615,4555.555555555556
Nissan,Titan SE,2009,127600,E85 Flex Fuel,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Gray,None reported,Yes,19500.0,17,0.15282011896458492,7088.888888888889
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,19000.0,21,0.13723266715299998,6293.181818181818
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,15500.0,13,0.06739101134342894,16428.571428571428
Lexus,RX 350 F Sport,2017,53649,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,None reported,Yes,33000.0,9,0.6150978564771669,5364.9
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000,Gasoline,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,11999.0,14,0.06895937379670232,11600.0
INFINITI,QX80 Luxe,2022,49860,Gasoline,5.6L V8 32V GDI DOHC,Automatic,Black Obsidian,Graphite,At least 1 accident or damage reported,Yes,47645.0,4,0.9555564469224443,9972.0
Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,75000.0,5,5.4941029961175,2275.0
BMW,528 i xDrive,2016,134000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,13500.0,10,0.10074551682450131,12181.818181818182
Porsche,911 Carrera,2014,78000,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Brown,Brown,None reported,Yes,68000.0,12,0.8717836950808323,6000.0
Porsche,Boxster S,2005,65750,Gasoline,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,21750.0,21,0.33079344800839533,2988.6363636363635
BMW,X6 M Base,2021,18000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,94000.0,5,5.221932114882507,3000.0
Ford,Mustang Premium,2007,121630,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,9450.0,19,0.07769400892864484,6081.5
Rivian,R1S Launch Edition,2023,4500,Gasoline,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Silver,Gray,None reported,Yes,89999.0,3,19.995334370139968,1125.0
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,Hybrid,2.0L I4 16V GDI DOHC Hybrid,8-Speed Automatic,Black,Gray,None reported,Yes,61999.0,4,6.589329365501116,1881.6
BMW,528 i xDrive,2016,120000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,16000.0,10,0.13333222223148142,10909.09090909091
Cadillac,Escalade ESV Platinum,2016,168600,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,29500.0,10,0.17496930623187287,15327.272727272728
Chevrolet,Corvette Base,2004,43705,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,25900.0,22,0.5925959822450007,1900.2173913043478
Audi,A5 2.0T Premium,2013,111000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,11500.0,13,0.103602670246214,7928.571428571428
Audi,TT 2.0T Premium,2012,64549,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,17000.0,14,0.26336173508907823,4303.266666666666
Buick,LaCrosse CX,2007,53000,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,6500.0,19,0.1226391954868776,2650.0
Chevrolet,Camaro 2SS,2017,13465,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,44900.0,9,3.3343234813604634,1346.5
Tesla,Model Y Long Range,2023,5844,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,52000.0,3,8.896492728828058,1461.0
BMW,M3 Base,2015,74000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Gray,Black,None reported,Yes,40000.0,11,0.5405332360373508,6166.666666666667
Kia,Optima LX,2011,100331,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,At least 1 accident or damage reported,Yes,6900.0,15,0.0687716780289439,6270.6875
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,53568.0,4,2.1555671803951553,4970.0
Lincoln,Nautilus Reserve,2021,17467,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Pristine White,Slate,None reported,Yes,43860.0,5,2.5108770322876115,2911.1666666666665
Nissan,Pathfinder SL,2015,115000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,11995.0,11,0.10430344083964488,9583.333333333334
BMW,X5 xDrive50i,2015,72000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,At least 1 accident or damage reported,Yes,26500.0,11,0.3680504437438369,6000.0
Mazda,MazdaSpeed3 Grand Touring,2008,162000,Gasoline,263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,6500.0,18,0.04012320911599311,8526.315789473685
GMC,Yukon XL SLT,2017,47589,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,45500.0,9,0.9560832107585627,4758.9
Toyota,bZ4X Limited,2023,6548,Gasoline,Electric,Automatic,Wind Chill Pearl,Black,None reported,Yes,41999.0,3,6.413040158802871,1637.0
RAM,ProMaster 2500 High Roof,2018,10339,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,36990.0,8,3.5773694390715667,1148.7777777777778
RAM,1500 Classic SLT,2021,32092,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113.0,5,1.0941015174648678,5348.666666666667
Lexus,GS 350 Base,2014,85275,Gasoline,3.5 Liter,Automatic,Nebula Gray Pearl,Black,At least 1 accident or damage reported,Yes,23998.0,12,0.28141563863220603,6559.615384615385
Hyundai,Tucson Limited,2016,138000,Gasoline,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,10990.0,10,0.07963710407895595,12545.454545454546
Chevrolet,SSR Base,2003,87500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,16999.0,23,0.194272065462109,3645.8333333333335
Maserati,GranTurismo Base,2013,34920,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,38900.0,13,1.1139428996878669,2494.285714285714
Tesla,Model X Performance,2020,27224,Gasoline,Electric,1-Speed Automatic,Black,Black,None reported,Yes,65999.0,6,2.4242056932966025,3889.1428571428573
BMW,M2 Base,2018,25000,Gasoline,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,52000.0,8,2.0799168033278668,2777.777777777778
Tesla,Model Y Long Range,2021,14642,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,Red,Black,None reported,Yes,48500.0,5,3.312162808167725,2440.3333333333335
Subaru,Outback 2.5i Limited,2015,162000,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,13999.0,11,0.08641304683304424,13500.0
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,36500.0,9,0.3585426469288121,10180.0
Ford,Expedition Max XLT,2021,84351,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Ebony,None reported,Yes,42691.0,5,0.5061053679817906,14058.5
Nissan,Leaf SL,2012,26930,Gasoline,107.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Beige,None reported,Yes,6700.0,14,0.24878392930080576,1795.3333333333333
Toyota,Tacoma TRD Pro,2019,40698,Gasoline,3.5L V6 24V PDI DOHC,6-Speed,Super White,Black,None reported,Yes,42886.0,7,1.0537359640286001,5087.25
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Red,None reported,Yes,112500.0,6,2.8124296892577685,5714.285714285715
BMW,230 i,2019,30000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,29000.0,7,0.9666344455184828,3750.0
Lexus,ES 350 Base,2007,78980,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10600.0,19,0.13420949342246868,3949.0
Porsche,911 Carrera S Cabriolet,2007,28844,Gasoline,3.8L H6 24V MPFI DOHC,6-Speed Manual,White,Beige,None reported,Yes,69995.0,19,2.4265903969492113,1442.2
Porsche,Taycan Turbo,2020,21028,Gasoline,Dual AC Electric Motors,Single-Speed Fixed Gear,BLACK,BEIGE,None reported,Yes,96900.0,6,4.607922392886015,3004.0
Maserati,Levante Modena,2023,5409,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Black,None reported,Yes,88950.0,3,16.44177449168207,1352.25
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,69900.0,6,5.503503661129045,1814.2857142857142
Mazda,Mazda6 Touring,2021,19000,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,25900.0,5,1.3630861533603496,3166.6666666666665
Audi,S4 3.0T Premium,2019,12000,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,48000.0,7,3.99966669444213,1500.0
Ford,Mustang GT Premium,2016,25717,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,33900.0,10,1.318142934909402,2337.909090909091
Tesla,Model Y Long Range,2022,12055,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,44400.0,4,3.682813536828135,2411.0
Audi,TTS 2.0T Premium Plus,2011,69700,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Orange,–,At least 1 accident or damage reported,Yes,23000.0,15,0.3299809184947131,4356.25
BMW,M2 Competition,2020,25013,Gasoline,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,55000.0,6,2.198768689533861,3573.285714285714
Audi,Q4 e-tron Sportback Premium,2023,1156,Gasoline,295.0HP Electric Motor Electric Fuel System,A/T,Blue,Black,None reported,Yes,54900.0,3,47.45030250648228,289.0
BMW,740 i,2016,57939,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,27500.0,10,0.47462892647566446,5267.181818181818
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,49999.0,8,0.9488376506309897,5854.888888888889
Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,37000.0,11,0.6851724968056148,4500.0
Chevrolet,Colorado Z71,2020,20909,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Red,Jet Black,None reported,Yes,35387.0,6,1.6923481587757054,2987.0
Mercedes-Benz,S-Class S 63 AMG,2013,77648,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,40000.0,13,0.515138636685598,5546.285714285715
Bentley,Continental GTC Base,2013,79422,Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,64000.0,13,0.8058119184619065,5673.0
Audi,SQ5 3.0T Premium,2020,21832,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,42000.0,6,1.9236934915036872,3118.8571428571427
Toyota,Corolla iM Base,2017,41932,Gasoline,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,18700.0,9,0.4459494908544583,4193.2
GMC,Yukon XL SLT,2017,110000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,34999.0,9,0.3181698348196835,11000.0
Toyota,Tundra 1794,2020,67400,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,47500.0,6,0.7047373184374119,9628.57142857143
Subaru,WRX Premium,2017,62662,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Red,Black,At least 1 accident or damage reported,Yes,24000.0,9,0.3830011330450186,6266.2
Subaru,WRX Base,2015,102000,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,White,Black,At least 1 accident or damage reported,Yes,18000.0,11,0.17646885814844954,8500.0
INFINITI,Q50 Premium,2014,79785,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,16488.0,12,0.20665279622991503,6137.307692307692
Chevrolet,Suburban Premier,2017,166549,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,24950.0,9,0.14980486340438307,16654.9
Toyota,Sequoia Limited,2006,190656,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,8900.0,20,0.046680688356577515,9078.857142857143
Dodge,Challenger R/T Scat Pack,2016,7928,–,–,6-Speed M/T,Red,Red,None reported,Yes,37500.0,10,4.729474082482028,720.7272727272727
Porsche,Cayenne GTS,2009,135606,Gasoline,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,15000.0,17,0.11061375887675415,7533.666666666667
Kia,Telluride S,2023,14700,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,39900.0,3,2.7141010815590776,3675.0
Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,96000.0,7,7.3925766209764365,1623.125
BMW,Z4 sDrive35is,2014,4200,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,64995.0,12,15.471316353249227,323.0769230769231
Subaru,Impreza 2.0i Sport,2017,44000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,23500.0,9,0.5340787709370242,4400.0
Dodge,Dart SE,2015,66000,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,12000.0,11,0.18181542703898426,5500.0
Land,Rover Range Rover P525 Westminster,2021,17945,Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Santorini Black Metallic,Ebony,None reported,Yes,89900.0,5,5.009472863033545,2990.8333333333335
Nissan,370Z Base,2013,106700,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,17500.0,13,0.16400970937479498,7621.428571428572
Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,55000.0,6,0.4583295139207173,17142.85714285714
Mercedes-Benz,E-Class E 350,2012,59600,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,19900.0,14,0.33388701531853493,3973.3333333333335
Kia,Optima Hybrid EX,2012,117220,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,None reported,Yes,8900.0,14,0.07592496225079123,7814.666666666667
Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Gray,None reported,Yes,67500.0,4,0.7922442224856516,17040.0
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,24325.0,8,0.38336669240831506,7050.0
Dodge,Ram 1500 SRT-10,2004,73000,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Gray,None reported,Yes,22500.0,22,0.30821495595950743,3173.913043478261
Scion,tC Anniversary Edition,2014,115000,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Silver,None reported,Yes,11495.0,12,0.09995565255954296,8846.153846153846
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,49900.0,10,0.8910555168657702,5090.909090909091
Lexus,LS 500 Base,2018,67296,Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv","Automatic, 10-Spd",–,–,None reported,Yes,40900.0,8,0.6077536888717179,7477.333333333333
Chevrolet,Suburban 1500 LT,2015,179200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,16000.0,11,0.08928521604232119,14933.333333333334
Maserati,GranTurismo Base,2015,28000,Gasoline,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Red,None reported,Yes,44999.0,11,1.6070497482232777,2333.3333333333335
Porsche,911 Carrera Turbo,2003,155000,Gasoline,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,55000.0,23,0.3548364204101909,6458.333333333333
Hyundai,Sonata Hybrid Base,2012,154000,Hybrid,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Green,Gray,At least 1 accident or damage reported,Yes,8500.0,14,0.055194446789306566,10266.666666666666
Cadillac,CTS Luxury,2012,62500,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,18955.0,14,0.30327514759763846,4166.666666666667
Tesla,Model 3 Standard Range Plus,2019,83700,Gasoline,Electric Motor Electric Fuel System,A/T,Black,Black,At least 1 accident or damage reported,Yes,26000.0,7,0.3106295026343771,10462.5
Nissan,370Z Touring,2012,65000,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,21500.0,14,0.33076414209012167,4333.333333333333
Mercedes-Benz,GLS 450 Base 4MATIC,2018,62808,Gasoline,3.0 Liter DOHC Twin Turbo,Automatic,Black,–,At least 1 accident or damage reported,Yes,38598.0,8,0.6145297648426181,6978.666666666667
Ford,Mustang GT Premium,2021,3000,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,49500.0,5,16.494501832722428,500.0
Audi,Q5 2.0T Premium,2012,119000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,–,None reported,Yes,12000.0,14,0.10083948874379207,7933.333333333333
RAM,2500 Big Horn,2013,198868,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Brown,Beige,None reported,Yes,25000.0,13,0.12571089511185757,14204.857142857143
Dodge,Ram 1500 ST,2011,188000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,8500.0,15,0.04521252546529008,11750.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10750.0,13,0.06829472828227641,11243.214285714286
Dodge,Challenger SRT Hellcat,2016,8228,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,62500.0,10,7.595090533479159,748.0
Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,42950.0,8,0.5875352247544526,8122.333333333333
BMW,M4 Base,2018,10950,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,White,None reported,Yes,60995.0,8,5.56981097616656,1216.6666666666667
Mercedes-Benz,S-Class S 560 4MATIC,2018,63160,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,–,At least 1 accident or damage reported,Yes,47000.0,8,0.7441300802710533,7017.777777777777
Land,Rover Range Rover 5.0L V8 Supercharged,2019,31866,Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,","Automatic, 8-Spd",–,–,None reported,Yes,68900.0,7,2.162111274986663,3983.25
Chevrolet,Express 3500 Base,2009,75000,Gasoline,319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,18900.0,17,0.2519966400447994,4166.666666666667
Toyota,4Runner TRD Pro,2016,98000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,36000.0,10,0.3673431903756084,8909.09090909091
Mazda,MX-5 Miata Grand Touring,2012,33576,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,18900.0,14,0.562885308395628,2238.4
Volkswagen,Touareg VR6 Lux,2012,123200,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,12449.0,14,0.10104625774141443,8213.333333333334
Jaguar,XJ Base,2013,112000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,White,None reported,Yes,8800.0,13,0.07857072704707993,8000.0
Chevrolet,Camaro 2SS,2010,68000,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,19500.0,16,0.2867604888163409,4000.0
INFINITI,G37 x,2012,120000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,14500.0,14,0.12083232639728002,8000.0
